Package Name,Reviewer Name,Review,Rating
org.thoughtcrime.securesms,Faith janne,Fast and secure,2
org.thoughtcrime.securesms,Michael,Removing SMS is the worst business decision they could have ever made. Why not poll the user base BEFORE making such a polarizing change?,1
org.thoughtcrime.securesms,Brian Shilling,Does what it says on the tin,5
org.thoughtcrime.securesms,Syed Hanzala Raza,Do not creating account,1
org.thoughtcrime.securesms,Paul Mack,Can't get back in.,1
org.thoughtcrime.securesms,Andrew Roy,"Secure app, but the loss of SMS function is a very bad decision. I'd set up my whole family with signal as their single messaging app, but now they are all going back to the default SMS app to avoid switching between different apps. Removing SMS was not a good decision and has made everyone less secure.",1
org.thoughtcrime.securesms,sandra huston,Clear pic and audio Convenient,5
org.thoughtcrime.securesms,Justin Clark,Love using this app but getting rid of sms support forced me off considering most of my contacts do not use it. Would give 0 stars just because of the loss of function.,1
org.thoughtcrime.securesms,rbq 426,"Not supporting sms is lame. Seems like no matter what platform I'm using, food I buy, places I go, services I use, there seems to be some major changes happen and not for the better.",1
org.thoughtcrime.securesms,Ilaine Marjoribanks,The best secure messaging app! No spyware and a great user interface!,5
org.thoughtcrime.securesms,Caleb Colpitts,"People are nitpicking this app.. total bs.. Wonder how many of them actually tried to use it.. This app is awesome, calls and texts through signal are faster than androids native messenger.",5
org.thoughtcrime.securesms,Francisco Tovar,Useful,5
org.thoughtcrime.securesms,Jon Anderson - Ferrell,By dropping sms support they killed any and all functionality. I'm not going to keep a separate app on my phone for the 4 people who didn't delete their account. I'm concerned about the next time a promising secure messaging app comes out that people won't forget how signal did them dirty and won't want to give it a shot.,1
org.thoughtcrime.securesms,Douglas Collins,I cannot figure out how to erase contacts and messages.,2
org.thoughtcrime.securesms,Douglas Calkins,"Would be really good app jf they didn't require your phone number . Doesn't make sense that this is promoted as the most secure app but yet they can literally have all of your and I mean all if your info with just your phone number that's connected to your emails, phone plan, passwords, financial information, your activity, your personal information etc. All you have to do is 100% completely trust any and everyone who works for/with signal with all of your information attached to your number NO",2
org.thoughtcrime.securesms,Angelique Gibson,Is not paying to kill Tik Tok and works very very very well,5
