Package Name,Reviewer Name,Review,Rating
com.google.android.apps.messaging,Stewart Buchanan,RCS is broken in the current release,1
com.google.android.apps.messaging,noor ahmed,Excellent,5
com.google.android.apps.messaging,Loni Rosner,What I don't like is that you can't personalize each contact like you can in samsung messages.,3
com.google.android.apps.messaging,James Isaac,"Google message ""Bug"" Hey google! There is a bug on your google message ""Cant reply to this short code"" and it is pretty annoying its flickering. Already reported this bug, please fix it. Done also with clearing the cache at update but nothing happen. I see a lot of users is also experiencing this.",1
com.google.android.apps.messaging,Michael Enoch,Good,5
com.google.android.apps.messaging,Avula Raghavendra,"When I open some messages The sentence ""you can't reply to this message"" Was blinking. Please rectify this bug",1
com.google.android.apps.messaging,Ozair A,Sumsung message is best,1
com.google.android.apps.messaging,Nemai Adhikary,Very helpful app,4
com.google.android.apps.messaging,Ankit Kar,Please fix the glitch Well there are some types of messages from telecoms like jio or airtel Which can't be replied In that case a white banner flickers at the bottom of the screen Showing (can not reply) at the left And (learn more) at the right,3
com.google.android.apps.messaging,PANDIT SHINDE,Very good 👍,5
com.google.android.apps.messaging,Shemar Thomas,Super cool updates,5
com.google.android.apps.messaging,Kalekuri jyo,OnePlus mobile all models it's come to screen flickering issue on message only company,1
com.google.android.apps.messaging,Vikram Rajput,After last updated some error,1
com.google.android.apps.messaging,saurabh gupta,Display msg error,1
com.google.android.apps.messaging,Kevin njuguna,No problems so far,5
com.google.android.apps.messaging,Akhil Sharma,There is always a twitching happening at the bottom of my device. Samsung Flip4. It's a lot irritating. I believe it's a bug and needs to be fixed.,3
com.google.android.apps.messaging,Bishnu Deep,👍👍,5
com.google.android.apps.messaging,Noboka Nashoni,Good,5
com.google.android.apps.messaging,Gaurav Sharma (Samsung M31),Flicker issue in the toast shown in message content.,4
com.google.android.apps.messaging,Kirtilal Suthar,Show flashing masage on display when open masagae Blinking countinues on display when uninstall latest update then working ok.............…....…..................................................................................................................................................................................…........................................................................========...........=...................................................................................,3
com.google.android.apps.messaging,Frank Yannitelli,Was a good experience for me but I am just starting to use it,4
com.google.android.apps.messaging,Lucia Gort,I m having issues with sending messages,1
com.google.android.apps.messaging,Kyvin Hughes,Great,5
com.google.android.apps.messaging,Otabek Bekchanov,why does my SMS doesn't get sent and awaits some connection so it can get sent as an MMS?! That's too sick..!,1
com.google.android.apps.messaging,Lou Garcia,Good,5
com.google.android.apps.messaging,Denise Reinders,Easy to use.,5
com.google.android.apps.messaging,Yemi Ay,yuioooouy 1,3
com.google.android.apps.messaging,Arvind Yadav,Helpful,4
com.google.android.apps.messaging,ankit nayi,"""cant reply to this short code & lern more"" glitch in window still blinking after reinstall the app, kindly fix this.",1
com.google.android.apps.messaging,Ms Nela Catalan,Very good,5
com.google.android.apps.messaging,Prerna Kumari,Very good experience,5
com.google.android.apps.messaging,E Holsey,"Voice text used work all the time now only work sometimes, messages will not get sent and I won't even know it until much later. I want to love it but not yet. And I think it's very limited that you can only pin five messages to the top",3
com.google.android.apps.messaging,Viktor Svoboda,"Overall fine, missing showing unread only and set msg as unread, fine is the ""pin to top"" feature",3
com.google.android.apps.messaging,OG PM,Good,4
com.google.android.apps.messaging,Md. Tauhid Zaman,It's helpful,4
com.google.android.apps.messaging,William Lorenzo-Crick,Honestly better than iMessage on iPhone,4
com.google.android.apps.messaging,Danny Perez,"Overall, pretty good. I wish some of my msgs wouldn't get stuck trying to download. There have been times the OB msg don't get sent.",4
com.google.android.apps.messaging,Shyna Siddiqui,Nice,4
com.google.android.apps.messaging,Sky Scraper,"Not working properly on oneplus nord ce 2 lite, the ""cant reply to this short is shaking"" which is annoying. The shaking or flickering doesnt appear on old version of Messages. I did try even resetting the phone, but its the latest update that has this bug on nord ce 2 lite. I also read similar issues on other user. I did erase the cache files and data, but still, the flickering message is still present, this app needs an update",1
com.google.android.apps.messaging,Neha,A de DD a,1
com.google.android.apps.messaging,Jai-El Johnson,Loving this!! Attachments are so much easier to share. Great app!!,5
com.google.android.apps.messaging,Limon Islam,ধন্যবাদ,5
com.google.android.apps.messaging,DEEP VIDEO MUSICAL,My love,1
com.google.android.apps.messaging,Kamran Abbasi,Awesome,5
com.google.android.apps.messaging,Abdul Haseeb,Realy disappointed new Message will open manually but the num came on the icon .for example 2 message i will open but the num on icon 2 witll b appear ...even no message can b unread,1
com.google.android.apps.messaging,36ixo,Easy to use and the display of messages are just amazing ☺,5
com.google.android.apps.messaging,Mala Ali,Perfect,5
com.google.android.apps.messaging,Kent Ebersole,"When on Wi-Fi, sometimes slow. When groups with i phones, lots of problems.",3
com.google.android.apps.messaging,Hirak Raj,Noce,5
com.google.android.apps.messaging,Noel DeLeon,Very useful app,5
com.google.android.apps.messaging,Grace Akinola,"It would be helpful if the next update can have this feature: A notification folder where messages from network providers, bank, etc (generally messages not associated with numbers) go to by default. I miss using my phone default message app, the ONLY reasons I decided to use Google messages are because of the chat feature and the fact that I can spam messages from unknown senders. Thank you.",3
com.google.android.apps.messaging,Chirag Mittal,"With latest update, I am experiencing a bug. The bottom caption alert message has numerous duplicates stacking each other. Immediate assistance is required from the development team. I have to downgrade this to previous version, as a promissing solution for this bug.",5
com.google.android.apps.messaging,Jeanne Ina Bottle,Sucks,1
com.google.android.apps.messaging,Farshid Prs,Best,5
com.google.android.apps.messaging,Chitloju Prashanth Chary,Nice,5
com.google.android.apps.messaging,Mark Dunderdale,Great,5
com.google.android.apps.messaging,Aman Meena,Worst experience normal message are look like better than Google message app .. worst part is it is by default in my phone . Phone app is also very bad in which specialy recording feature.,1
com.google.android.apps.messaging,vinh dang,Error while auto copy otp,1
com.google.android.apps.messaging,Marsha Henry,Constant problems with group texts,2
com.google.android.apps.messaging,RISDT SCHOOL,Good,1
com.google.android.apps.messaging,Robert weinewuth,"Mostly it's pretty good, occasionally the sound notification goes away and I have to reboot to get it back. Is there a way I can set it so that it won't give the sound alert between say 10 p.m. and 7 a.m.?",4
com.google.android.apps.messaging,balaji smart,"After update there is an bug in message app. When short code like otp which we can't reply. That's giving error ""can't reply to this short code"". Need some solution for this",2
com.google.android.apps.messaging,Thaznim Nahaz,Good,5
com.google.android.apps.messaging,Anmol Kumar,Good,4
com.google.android.apps.messaging,Alli Kat,I wish you could customize it like the old app,3
com.google.android.apps.messaging,Emeka Aggrey,Good app,5
com.google.android.apps.messaging,Steve Wworkman,Awesome app,5
com.google.android.apps.messaging,Chris C Anderson,Perfectly love it ..,5
com.google.android.apps.messaging,Kathryn Blakeley,"It's a good app,as in,it does what it's supposed to but besides that it's 'nowt spesh'! Ha 😁 I need more info on the lock screen I have hardly been noticeing my texts until too late, lately 🤨 I have missed out on important messages*",3
com.google.android.apps.messaging,Anil kumar mahanta,Can not reply flickering.After update,2
com.google.android.apps.messaging,Joseph sunday,Nice app,4
com.google.android.apps.messaging,Nelson Chukwuebuka,What a wonderful App Easy in all thing 👍👍👍,5
com.google.android.apps.messaging,Deepak Pandit,Nice,5
com.google.android.apps.messaging,Vivek Roy Chowdhury,From Many days can't reply short code error is popping. I did all the suggestions given by you. Still same error,3
com.google.android.apps.messaging,DJ Mavan Smiley,Nice,5
com.google.android.apps.messaging,karuppannan sukumar,Very good,5
com.google.android.apps.messaging,Rahim Shaikh,Any message open show MSG007 ERROR PLEASE HELP TO REMOVE THIS MESSAGE SO ERITED THIS MESSAGE Am already clear data and restore factory settings but problem not solve,1
com.google.android.apps.messaging,Ehsan Jiban,Good app,5
com.google.android.apps.messaging,Hayat Hayat,A good APP,5
com.google.android.apps.messaging,sam mwanza,Good,4
com.google.android.apps.messaging,Alex Ramirez,Can't mute notifications anymore,3
com.google.android.apps.messaging,Sahal Bangash,It's really Good app,5
com.google.android.apps.messaging,Arunas,"This crazy stroboscopic flickering of ""can't reply to this short code"" is very annoying... Edit. After suggested uninstall/reinstall and clearing all data, nothing has changed, flickering issue remains. So i guess i'm done with it.",2
com.google.android.apps.messaging,Andjelija Karaicic,It's literally the messages app like why would someone rate it??,5
